graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_17_69_3,17,69,6,"{(10, 15), (4, 15), (15, 16), (11, 15), (13, 15), (3, 15)}",34,943,0.0
Graph_17_69_4,17,69,5,"{(8, 14), (1, 8), (8, 15), (7, 8), (2, 8)}",34,943,0.0
Graph_17_103_0,17,103,10,"{(13, 14), (8, 14), (3, 14), (10, 14), (1, 14), (14, 16), (9, 14), (4, 14), (14, 15), (7, 14)}",34,1215,0.0
Graph_17_103_1,17,103,8,"{(5, 11), (1, 5), (5, 13), (4, 5), (5, 16), (5, 9), (2, 5), (3, 5)}",34,1215,0.0
Graph_17_103_2,17,103,8,"{(8, 14), (3, 8), (5, 8), (8, 10), (8, 16), (8, 13), (4, 8), (2, 8)}",34,1215,0.0
Graph_17_103_3,17,103,8,"{(5, 15), (6, 15), (1, 15), (9, 15), (4, 15), (11, 15), (13, 15), (8, 15)}",51,1831,0.0
Graph_17_103_4,17,103,11,"{(9, 16), (0, 16), (11, 16), (12, 16), (7, 16), (2, 16), (8, 16), (14, 16), (15, 16), (10, 16), (5, 16)}",34,1215,0.015994548797607422
Graph_17_136_0,17,136,16,"{(6, 12), (1, 12), (12, 15), (12, 16), (9, 12), (4, 12), (12, 13), (0, 12), (11, 12), (7, 12), (2, 12), (8, 12), (3, 12), (10, 12), (5, 12), (12, 14)}",34,1479,0.0
Graph_18_20_0,18,20,1,"{(2, 13)}",36,592,0.0
Graph_18_20_1,18,20,1,"{(2, 12)}",72,1202,0.0
Graph_18_20_2,18,20,1,"{(2, 3)}",36,592,0.0
Graph_18_20_3,18,20,2,"{(13, 15), (2, 6)}",36,592,0.0
Graph_18_20_4,18,20,3,"{(4, 14), (2, 12), (3, 11)}",36,592,0.0
Graph_18_39_0,18,39,1,"{(8, 14)}",54,1125,0.0
Graph_18_39_1,18,39,2,"{(12, 13), (12, 15)}",36,744,0.0
Graph_18_39_2,18,39,2,"{(0, 3), (0, 9)}",36,744,0.0
Graph_18_39_3,18,39,3,"{(2, 3), (3, 8), (3, 10)}",54,1125,0.0
Graph_18_39_4,18,39,2,"{(2, 15), (2, 10)}",36,744,0.0
Graph_18_77_0,18,77,6,"{(5, 8), (5, 13), (5, 6), (0, 5), (2, 5), (5, 12)}",36,1048,0.0
Graph_18_77_1,18,77,6,"{(3, 14), (10, 14), (1, 14), (4, 14), (11, 14), (12, 14)}",36,1048,0.0
Graph_18_77_2,18,77,5,"{(0, 4), (0, 9), (0, 15), (0, 14), (0, 11)}",36,1048,0.0
Graph_18_77_3,18,77,6,"{(8, 14), (8, 17), (8, 10), (8, 16), (4, 8), (2, 8)}",36,1048,0.0
Graph_18_77_4,18,77,6,"{(13, 14), (1, 14), (14, 16), (9, 14), (0, 14), (12, 14)}",54,1581,0.0
Graph_18_115_0,18,115,11,"{(4, 10), (2, 4), (0, 4), (4, 13), (3, 4), (4, 9), (4, 6), (4, 15), (4, 8), (4, 14), (4, 7)}",36,1352,0.0
Graph_18_115_1,18,115,11,"{(5, 11), (1, 5), (5, 17), (5, 7), (5, 13), (4, 5), (5, 16), (5, 9), (2, 5), (5, 12), (3, 5)}",36,1352,0.0
Graph_18_115_2,18,115,11,"{(9, 10), (9, 13), (4, 9), (9, 12), (0, 9), (9, 15), (7, 9), (3, 9), (5, 9), (9, 17), (6, 9)}",36,1352,0.0
Graph_18_115_3,18,115,10,"{(2, 14), (2, 4), (1, 2), (2, 17), (2, 10), (2, 3), (2, 9), (2, 6), (2, 15), (2, 5)}",36,1352,0.0
Graph_18_115_4,18,115,11,"{(3, 8), (6, 8), (8, 10), (8, 16), (8, 13), (4, 8), (8, 12), (8, 11), (0, 8), (7, 8), (2, 8)}",36,1352,0.0
Graph_18_153_0,18,153,17,"{(12, 17), (7, 17), (2, 17), (13, 17), (8, 17), (3, 17), (14, 17), (15, 17), (10, 17), (5, 17), (6, 17), (1, 17), (11, 17), (9, 17), (4, 17), (16, 17), (0, 17)}",36,1656,0.0
Graph_19_22_0,19,22,1,"{(9, 16)}",76,1321,0.01570606231689453
Graph_19_22_1,19,22,1,"{(1, 2)}",76,1321,0.0
Graph_19_22_2,19,22,3,"{(9, 10), (12, 17), (7, 13)}",38,651,0.0
Graph_19_22_3,19,22,1,"{(5, 7)}",38,651,0.0
Graph_19_22_4,19,22,1,"{(4, 13)}",57,986,0.0
Graph_19_43_0,19,43,1,"{(0, 16)}",38,819,0.0
Graph_19_43_1,19,43,2,"{(8, 14), (14, 16)}",38,819,0.0
Graph_19_43_2,19,43,2,"{(2, 15), (2, 13)}",57,1238,0.0
Graph_19_43_3,19,43,1,"{(2, 5)}",57,1238,0.0
Graph_19_43_4,19,43,2,"{(12, 16), (2, 16)}",57,1238,0.0
Graph_19_86_0,19,86,4,"{(14, 18), (17, 18), (10, 18), (13, 18)}",38,1163,0.0
Graph_19_86_1,19,86,5,"{(2, 4), (2, 13), (2, 9), (2, 6), (2, 11)}",76,2345,0.0
Graph_19_86_2,19,86,5,"{(4, 9), (9, 15), (9, 11), (6, 9), (1, 9)}",38,1163,0.0
Graph_19_86_3,19,86,5,"{(8, 14), (8, 17), (5, 8), (4, 8), (2, 8)}",38,1163,0.0
Graph_19_86_4,19,86,6,"{(10, 15), (15, 17), (9, 15), (15, 16), (0, 15), (11, 15)}",38,1163,0.0017464160919189453
Graph_19_129_0,19,129,10,"{(6, 12), (6, 15), (6, 8), (6, 14), (6, 17), (2, 6), (5, 6), (6, 16), (1, 6), (6, 9)}",57,2270,0.0
Graph_19_129_1,19,129,12,"{(5, 11), (1, 5), (5, 8), (5, 14), (5, 7), (5, 13), (4, 5), (5, 16), (0, 5), (5, 9), (5, 12), (3, 5)}",38,1507,0.0
Graph_19_129_2,19,129,10,"{(10, 15), (1, 15), (15, 17), (15, 16), (0, 15), (12, 15), (7, 15), (2, 15), (13, 15), (8, 15)}",38,1507,0.0
Graph_19_129_3,19,129,11,"{(2, 14), (2, 4), (1, 2), (2, 17), (2, 7), (2, 10), (2, 3), (2, 9), (0, 2), (2, 6), (2, 15)}",38,1507,0.0
Graph_19_129_4,19,129,10,"{(3, 8), (3, 14), (3, 4), (3, 7), (0, 3), (3, 16), (2, 3), (3, 9), (3, 12), (3, 5)}",38,1507,0.0
Graph_19_171_0,19,171,18,"{(6, 18), (1, 18), (16, 18), (14, 18), (0, 18), (15, 18), (9, 18), (4, 18), (8, 18), (2, 18), (13, 18), (11, 18), (3, 18), (17, 18), (12, 18), (7, 18), (10, 18), (5, 18)}",38,1843,0.0
Graph_20_24_0,20,24,1,"{(10, 15)}",40,712,0.0
Graph_20_24_1,20,24,2,"{(7, 16), (17, 19)}",40,712,0.0
Graph_20_24_2,20,24,1,"{(15, 18)}",60,1078,0.0
