graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_8_22_1,8,22,4,1386,25025,0.00844573974609375
Graph_8_22_2,8,22,4,1386,25020,0.0018880367279052734
Graph_8_22_3,8,22,4,1323,24149,0.0052607059478759766
Graph_8_22_4,8,22,4,1386,25037,0.0004215240478515625
Graph_8_28_0,8,28,7,1701,30672,0.006843090057373047
Graph_9_8_0,9,8,1,36,3609,0.0
Graph_9_8_1,9,8,1,44,3751,0.007607221603393555
Graph_9_8_2,9,8,1,60,3823,0.0020308494567871094
Graph_9_8_3,9,8,1,34,3568,0.0030066967010498047
Graph_9_8_4,9,8,1,29,3553,0.003111124038696289
Graph_9_10_0,9,10,1,38,4212,0.0036017894744873047
Graph_9_10_1,9,10,1,80,4524,0.003007173538208008
Graph_9_10_2,9,10,1,130,5066,0.004060268402099609
Graph_9_10_3,9,10,1,77,4473,0.0030050277709960938
Graph_9_10_4,9,10,1,101,4863,0.002839326858520508
Graph_9_19_0,9,19,2,4347,80284,0.017951011657714844
Graph_9_19_1,9,19,2,4410,81386,0.021279335021972656
Graph_9_19_2,9,19,2,4725,86773,0.026846885681152344
Graph_9_19_3,9,19,2,4536,83598,0.02069997787475586
Graph_9_19_4,9,19,2,4410,81463,0.020627737045288086
Graph_9_28_0,9,28,4,5166,96655,0.021075963973999023
Graph_9_28_1,9,28,4,4914,92233,0.027828693389892578
Graph_9_28_2,9,28,4,4851,91330,0.020049333572387695
Graph_9_28_3,9,28,5,5355,99782,0.019972801208496094
Graph_9_28_4,9,28,4,5481,102026,0.030692577362060547
Graph_9_36_0,9,36,8,5355,101681,0.021852731704711914
Graph_10_9_0,10,9,1,305,7528,0.009051084518432617
Graph_10_9_1,10,9,1,99,4934,0.004448413848876953
Graph_10_9_2,10,9,1,87,5029,0.0020406246185302734
Graph_10_9_3,10,9,1,90,4942,0.007285356521606445
Graph_10_9_4,10,9,1,69,4836,0.0035152435302734375
Graph_10_12_0,10,12,1,1764,38240,0.01211404800415039
Graph_10_12_1,10,12,1,514,13054,0.007170200347900391
Graph_10_12_2,10,12,1,492,12723,0.005807399749755859
Graph_10_12_3,10,12,1,145,6895,0.0010766983032226562
Graph_10_12_4,10,12,1,130,6223,0.009462833404541016
Graph_10_23_0,10,23,2,6048,133786,0.031250953674316406
Graph_10_23_1,10,23,3,5922,131409,0.028714895248413086
Graph_10_23_2,10,23,3,5985,132741,0.02983403205871582
Graph_10_23_3,10,23,2,6048,133936,0.030712604522705078
Graph_10_23_4,10,23,2,6048,133172,0.0288846492767334
Graph_10_34_0,10,34,5,6300,142021,0.03239035606384277
Graph_10_34_1,10,34,5,6174,139379,0.03031301498413086
Graph_10_34_2,10,34,5,5985,135354,0.03094482421875
Graph_10_34_3,10,34,5,6237,140747,0.03255796432495117
Graph_10_34_4,10,34,6,6237,140815,0.032999515533447266
Graph_10_45_0,10,45,9,6237,143831,0.034667253494262695
Graph_11_10_0,11,10,1,154,6784,0.00507807731628418
Graph_11_10_1,11,10,1,92,5690,0.007042884826660156
Graph_11_10_2,11,10,1,80,5697,0.005906581878662109
Graph_11_10_3,11,10,1,171,7209,0.005833148956298828
Graph_11_10_4,11,10,1,269,8413,0.006311178207397461
Graph_11_14_0,11,14,1,507,15390,0.006183624267578125
Graph_11_14_1,11,14,1,1399,38731,0.013991355895996094
Graph_11_14_2,11,14,1,372,11900,0.005689859390258789
Graph_11_14_3,11,14,1,435,12740,0.005017518997192383
Graph_11_14_4,11,14,1,550,16173,0.005514383316040039
Graph_11_28_0,11,28,2,6174,164590,0.03432965278625488
Graph_11_28_1,11,28,3,6300,166967,0.03853964805603027
Graph_11_28_2,11,28,3,6237,165569,0.03563094139099121
Graph_11_28_3,11,28,3,6300,166965,0.03665971755981445
Graph_11_28_4,11,28,3,6300,166209,0.03302955627441406
Graph_11_42_0,11,42,4,6300,170146,0.04240584373474121
Graph_11_42_1,11,42,6,6300,171448,0.03967094421386719
Graph_11_42_2,11,42,6,6300,170995,0.034230947494506836
Graph_11_42_3,11,42,6,6300,171244,0.04036283493041992
Graph_11_42_4,11,42,5,6300,171200,0.04170727729797363
Graph_11_55_0,11,55,10,6300,174579,0.03962445259094238
Graph_12_11_0,12,11,1,227,9156,0.001010894775390625
Graph_12_11_1,12,11,1,144,7907,0.012415885925292969
Graph_12_11_2,12,11,1,189,8358,0.007889032363891602
Graph_12_11_3,12,11,1,339,11009,0.016922473907470703
Graph_12_11_4,12,11,1,151,8036,0.007113933563232422
Graph_12_17_0,12,17,1,516,17434,0.008352518081665039
Graph_12_17_1,12,17,1,378,13476,0.006520986557006836
Graph_12_17_2,12,17,1,3815,115506,0.026141643524169922
Graph_12_17_3,12,17,1,1207,40215,0.013553142547607422
Graph_12_17_4,12,17,1,1015,32677,0.011665821075439453
Graph_12_34_0,12,34,2,6300,198315,0.03950786590576172
Graph_12_34_1,12,34,3,6300,197857,0.04773139953613281
Graph_12_34_2,12,34,2,6300,196389,0.041914939880371094
Graph_12_34_3,12,34,3,6300,197616,0.04450416564941406
Graph_12_34_4,12,34,4,6300,196998,0.04074358940124512
Graph_12_50_0,12,50,6,6300,203038,0.04248785972595215
Graph_12_50_1,12,50,7,6300,202303,0.043816328048706055
Graph_12_50_2,12,50,7,6300,201903,0.04259347915649414
Graph_12_50_3,12,50,6,6300,202459,0.04273247718811035
Graph_12_50_4,12,50,7,6300,202938,0.04152870178222656
Graph_12_66_0,12,66,11,6300,205709,0.034673213958740234
Graph_13_12_0,13,12,1,192,9678,0.015830516815185547
Graph_13_12_1,13,12,1,232,10553,0.012533903121948242
Graph_13_12_2,13,12,1,145,8619,0.0051233768463134766
Graph_13_12_3,13,12,1,143,8361,0.009341001510620117
Graph_13_12_4,13,12,1,172,9635,0.003166675567626953
Graph_13_20_0,13,20,1,867,35580,0.011269330978393555
Graph_13_20_1,13,20,1,1516,55391,0.014972686767578125
Graph_13_20_2,13,20,2,6300,224605,0.04198312759399414
Graph_13_20_3,13,20,1,2059,75969,0.019908905029296875
Graph_13_20_4,13,20,1,3696,132789,0.028956890106201172
Graph_13_40_0,13,40,3,6300,229564,0.03419041633605957
Graph_13_40_1,13,40,2,6300,229442,0.05561995506286621
Graph_13_40_2,13,40,3,6300,230688,0.041706085205078125
Graph_13_40_3,13,40,2,6300,229234,0.0567779541015625
Graph_13_40_4,13,40,4,6300,231241,0.040335893630981445
Graph_13_59_0,13,59,7,6300,237220,0.06262803077697754
Graph_13_59_1,13,59,6,6300,237855,0.04150891304016113
Graph_13_59_2,13,59,7,6300,236444,0.05793404579162598
Graph_13_59_3,13,59,7,6300,233989,0.0462186336517334
Graph_13_59_4,13,59,7,6300,237912,0.04183220863342285
Graph_13_78_0,13,78,12,6300,241408,0.06902217864990234
Graph_14_13_0,14,13,1,164,10586,0.00783395767211914
Graph_14_13_1,14,13,1,197,11181,0.00799870491027832
Graph_14_13_2,14,13,1,173,10902,0.0034208297729492188
Graph_14_13_3,14,13,1,135,9882,0.007503032684326172
Graph_14_13_4,14,13,1,113,9299,0.007059812545776367
Graph_14_23_0,14,23,1,1947,84279,0.019236326217651367
Graph_14_23_1,14,23,1,4351,178659,0.03641939163208008
Graph_14_23_2,14,23,1,1316,52347,0.0030775070190429688
Graph_14_23_3,14,23,2,6300,257605,0.05442404747009277
Graph_14_23_4,14,23,1,2284,97152,0.030872821807861328
Graph_14_46_0,14,46,2,6300,264014,0.05164480209350586
Graph_14_46_1,14,46,4,6300,265384,0.057538747787475586
Graph_14_46_2,14,46,4,6300,264756,0.03977012634277344
Graph_14_46_3,14,46,4,6300,265521,0.055600881576538086
Graph_14_46_4,14,46,4,6300,264786,0.05746960639953613
Graph_14_69_0,14,69,8,6300,272421,0.07042908668518066
Graph_14_69_1,14,69,8,6300,273886,0.07125020027160645
Graph_14_69_2,14,69,8,6300,273715,0.051637887954711914
Graph_14_69_3,14,69,6,6300,273211,0.06050848960876465
Graph_14_69_4,14,69,8,6300,270910,0.07635283470153809
Graph_14_91_0,14,91,13,6300,279293,0.060599327087402344
